NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0007623 CIRCADIAN RHYTHM	GO:0007623 CIRCADIAN RHYTHM		26	-0.2024683	-0.7072063	0.9055118	1.0	1.0	891	tags=23%, list=17%, signal=28%	
GO:0036099 FEMALE GERM-LINE STEM CELL POPULATION MAINTENANCE	GO:0036099 FEMALE GERM-LINE STEM CELL POPULATION MAINTENANCE		23	-0.2064301	-0.69975036	0.93085104	1.0	1.0	722	tags=17%, list=14%, signal=20%	
GO:0000228 NUCLEAR CHROMOSOME	GO:0000228 NUCLEAR CHROMOSOME		19	-0.2159698	-0.69829214	0.87743735	0.9964006	1.0	1087	tags=32%, list=21%, signal=40%	
GO:0090090 NEGATIVE REGULATION OF CANONICAL WNT SIGNALING PATHWAY	GO:0090090 NEGATIVE REGULATION OF CANONICAL WNT SIGNALING PATHWAY		21	-0.21349145	-0.6903408	0.9100257	0.9961795	1.0	960	tags=29%, list=18%, signal=35%	
GO:0044183 PROTEIN FOLDING CHAPERONE	GO:0044183 PROTEIN FOLDING CHAPERONE		16	-0.22894947	-0.6837818	0.90886074	0.9947727	1.0	335	tags=13%, list=6%, signal=13%	
GO:0042026 PROTEIN REFOLDING	GO:0042026 PROTEIN REFOLDING		16	-0.22457547	-0.68369347	0.90231365	0.9879827	1.0	335	tags=13%, list=6%, signal=13%	
GO:0072499 PHOTORECEPTOR CELL AXON GUIDANCE	GO:0072499 PHOTORECEPTOR CELL AXON GUIDANCE		17	-0.2218972	-0.6761182	0.9160305	0.98688275	1.0	1643	tags=47%, list=31%, signal=68%	
GO:0040008 REGULATION OF GROWTH	GO:0040008 REGULATION OF GROWTH		15	-0.22296828	-0.6662167	0.9070352	0.98734105	1.0	603	tags=20%, list=11%, signal=23%	
GO:0007059 CHROMOSOME SEGREGATION	GO:0007059 CHROMOSOME SEGREGATION		18	-0.21468183	-0.66457504	0.9186352	0.9817672	1.0	622	tags=17%, list=12%, signal=19%	
GO:0046627 NEGATIVE REGULATION OF INSULIN RECEPTOR SIGNALING PATHWAY	GO:0046627 NEGATIVE REGULATION OF INSULIN RECEPTOR SIGNALING PATHWAY		23	-0.19145682	-0.63792694	0.96495956	0.99068797	1.0	191	tags=9%, list=4%, signal=9%	
GO:0008286 INSULIN RECEPTOR SIGNALING PATHWAY	GO:0008286 INSULIN RECEPTOR SIGNALING PATHWAY		20	-0.19368511	-0.6356446	0.95781636	0.9852347	1.0	626	tags=15%, list=12%, signal=17%	
GO:0005747 MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I	GO:0005747 MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I		33	-0.16924436	-0.61928385	0.97837836	0.9860139	1.0	574	tags=15%, list=11%, signal=17%	
GO:0016607 NUCLEAR SPECK	GO:0016607 NUCLEAR SPECK		17	-0.19952105	-0.61824745	0.95566505	0.97989136	1.0	311	tags=12%, list=6%, signal=12%	
GO:0035194 POST-TRANSCRIPTIONAL GENE SILENCING BY RNA	GO:0035194 POST-TRANSCRIPTIONAL GENE SILENCING BY RNA		18	-0.17905045	-0.5742809	0.9804878	0.9869012	1.0	1718	tags=44%, list=33%, signal=66%	
